country_region,map_region
Antigua and Barbuda,Antigua
Antigua and Barbuda,Barbuda
Burma,Myanmar
Cabo Verde,Cape Verde
Congo (Brazzaville),Republic of Congo
Congo (Kinshasa),Democratic Republic of the Congo
Cote d'Ivoire,Ivory Coast
Czechia,Czech Republic
Eswatini,Swaziland
Holy See,Vatican
North Macedonia,Macedonia
Saint Kitts and Nevis,Saint Kitts
Saint Kitts and Nevis,Nevis
Saint Vincent and the Grenadines,Saint Vincent
Saint Vincent and the Grenadines,Grenadines
Trinidad and Tobago,Trinidad
Trinidad and Tobago,Tobago
US,USA
US, Puerto Rico
West Bank and Gaza,Palestine
